subject,predicate,object,http://purl.obolibrary.org/obo/RO_0002558,http://purl.org/dc/elements/1.1/source,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,provided_by
NCBIGene:835609,OBO:RO_0002434,NCBIGene:844066,ECO:0000068,PMID:24255109,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:816471,OBO:RO_0002435,NCBIGene:844066,ECO:0000011,PMID:10518493,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:838883,OBO:RO_0002435,NCBIGene:844066,ECO:0000011,PMID:10518493,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:828791,OBO:RO_0002434,NCBIGene:844066,ECO:0000068,PMID:24255109,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:831441,OBO:RO_0002435,NCBIGene:844066,ECO:0000011,PMID:10518493,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:844005,OBO:RO_0002434,NCBIGene:844066,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:844066,OBO:RO_0002434,NCBIGene:844066,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:817721,OBO:RO_0002434,NCBIGene:844066,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:828658,OBO:RO_0002435,NCBIGene:844066,ECO:0000011,PMID:10518493,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:827323,OBO:RO_0002435,NCBIGene:844066,ECO:0000011,PMID:10518493,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:1277,OBO:RO_0002434,NCBIGene:1277,ECO:0000172,PMID:18375391,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:831441,OBO:RO_0002435,NCBIGene:838883,ECO:0000011,PMID:16006578,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:831441,OBO:RO_0002434,NCBIGene:838883,ECO:0000068,PMID:25422419,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:84447,OBO:RO_0002434,NCBIGene:84447,ECO:0000085,PMID:24366871,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:6400,OBO:RO_0002434,NCBIGene:84447,ECO:0000079,PMID:23867461,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:844066,OBO:RO_0002434,NCBIGene:817721,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:844005,OBO:RO_0002434,NCBIGene:817721,ECO:0000012,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:817721,OBO:RO_0002434,NCBIGene:817721,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:84447,OBO:RO_0002325,NCBIGene:6400,ECO:0000172,PMID:26471130,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:84447,OBO:RO_0002434,NCBIGene:6400,ECO:0000079,PMID:26471130,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:844005,OBO:RO_0002434,NCBIGene:844005,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:844066,OBO:RO_0002434,NCBIGene:844005,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:817721,OBO:RO_0002434,NCBIGene:844005,ECO:0000068,PMID:22438063,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:828658,OBO:RO_0002434,NCBIGene:828658,ECO:0000068,PMID:17189287,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:1277,OBO:RO_0002434,NCBIGene:1278,ECO:0000172,PMID:18375391,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:5663,OBO:RO_0002434,NCBIGene:5663,ECO:0000068,PMID:15474363,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:4137,OBO:RO_0002434,NCBIGene:4137,ECO:0000085,PMID:9353289,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:5663,OBO:RO_0002325,NCBIGene:4137,ECO:0000172,PMID:9689133,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:2539,OBO:RO_0002434,NCBIGene:2539,ECO:0000068,PMID:10745013,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:6908,OBO:RO_0002434,NCBIGene:6908,ECO:0000079,PMID:9311784,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:6469,OBO:RO_0002434,NCBIGene:6469,ECO:0000079,PMID:11395778,OBAN:association,tests/resources/monarch/biogrid_test.ttl
NCBIGene:84447,OBO:RO_0002434,NCBIGene:6469,ECO:0000079,PMID:21357747,OBAN:association,tests/resources/monarch/biogrid_test.ttl
